Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Jan,Feb,Mar,Apr,May,Jun,Total,Calculated Total,Total Variance,Total Check
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,28,13,20,10,11,5,87,87,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,MERCEDES -BENZ AG,MERCEDES-BENZ,Diesel,0,0,0,0,1,0,1,1,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel,2,0,0,0,0,0,2,2,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,OTHERS,OTHERS,Diesel,0,3,5,0,0,0,8,8,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,STELLANTIS INDIA PVT LTD,STELLANTIS,Diesel,0,0,0,0,1,0,1,1,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,9,7,8,4,6,2,36,36,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,9,3,3,0,3,1,19,19,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,BMW INDIA PVT LTD,BMW,Diesel,2,0,1,1,3,0,7,7,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,9,8,16,8,0,0,41,41,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,22,33,35,18,37,9,154,154,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,ISUZU MOTORS INDIA PVT LTD,ISUZU,Diesel,0,0,2,0,0,0,2,2,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,JSW MG MOTOR INDIA PVT LTD,MG MOTOR,Diesel,0,0,0,0,1,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,KIA INDIA PRIVATE LIMITED,KIA,Diesel,29,14,6,5,52,13,119,119,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,1,15,0,22,0,0,38,38,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,92,53,59,67,107,18,396,396,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel,2,4,0,1,1,1,9,9,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,OTHERS,OTHERS,Diesel,4,18,58,0,0,0,80,80,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,STELLANTIS INDIA PVT LTD,STELLANTIS,Diesel,0,0,1,0,1,0,2,2,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TATA MOTORS LTD,TATA MOTORS,Diesel,2,2,0,0,0,0,4,4,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,47,40,34,24,40,12,197,197,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,22,23,26,8,31,6,116,116,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,0,0,1,0,0,0,1,1,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,2,1,1,0,3,1,8,8,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,KIA INDIA PRIVATE LIMITED,KIA,Diesel,4,0,0,0,0,0,4,4,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,3,2,5,1,0,1,12,12,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,OTHERS,OTHERS,Diesel,0,2,1,0,0,0,3,3,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,4,1,2,2,4,0,13,13,0,OK
RTA JAGITYAL - TG21( 27-FEB-2026 ).xlsx,RTA JAGITYAL,TG21,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,1,1,0,0,1,0,3,3,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,0,0,1,0,0,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,1,1,0,0,0,0,2,2,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,KIA INDIA PRIVATE LIMITED,KIA,Diesel,2,0,2,0,1,0,5,5,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,1,0,0,0,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,2,0,1,1,3,2,9,9,0,OK
